NO,Date,OPENING,CLOSING,LOW,HIGH,VOLUME
0,01.10.2007,162.2,163.95,164,161.47,3099285
1,02.10.2007,164.36,165.41,166.2,163.8,3499336
2,04.10.2007,163.91,165.2,166.6,163.32,3209657
3,05.10.2007,164.67,164.23,165.68,163.08,3239298
4,08.10.2007,164.3,163.67,164.97,163.15,1314684
5,09.10.2007,163.83,163.58,164.74,163.15,1890623
6,10.10.2007,163.59,163.33,164.75,162.67,1962930
7,11.10.2007,163.32,162.5,164.35,161.42,2755890
8,12.10.2007,160.81,162.5,162.5,160.32,2511603
9,15.10.2007,161.6,161.03,162.5,160.64,2422212
10,16.10.2007,160.52,161.12,161.12,159.42,2610867
11,17.10.2007,160.02,162.26,162.98,160,2840654
12,18.10.2007,162.05,159.46,162.49,158.1,3634706
13,19.10.2007,158.5,156.14,158.66,155.62,4531074
14,22.10.2007,153.8,154.78,154.88,153.26,4030632
15,23.10.2007,155.2,154.66,156.13,154.11,3479705
16,24.10.2007,154.34,152.02,154.5,151.44,4025310
17,25.10.2007,152.77,150.5,152.77,149.66,6440592
18,26.10.2007,150.48,151.16,153,149.9,3266337
19,29.10.2007,152.48,151.89,152.65,151.01,2568061
20,30.10.2007,151.71,153.75,153.89,151.17,2872031
21,31.10.2007,154,155.22,155.88,153.05,3299194
22,01.11.2007,156,151.8,156.01,150.61,4505446
23,02.11.2007,150.5,150.8,152.04,149.7,4251286
24,05.11.2007,149.14,148.87,150.15,147.86,3371039
25,06.11.2007,148.88,146.24,149.5,145.65,3534585
26,07.11.2007,146.2,143.57,146.23,142.49,6454704
27,08.11.2007,140.75,141.38,142.25,140.14,6448775
28,09.11.2007,148.5,141.3,149.86,139.61,11324.38
29,12.11.2007,141.25,144.02,145,140.74,5008188
30,13.11.2007,144.24,144.67,145.9,143.3,3031091
31,14.11.2007,146.87,145.98,147.95,145.15,3813547
32,15.11.2007,146.01,143,146.62,142.2,3937359
33,16.11.2007,141.8,141.77,142.22,140.21,5051809
34,19.11.2007,141.07,137.8,141.48,137.15,5513195
35,20.11.2007,138.43,138,138.98,136.2,5036804
36,21.11.2007,136,134.65,136.75,133.62,6164065
37,22.11.2007,134.65,134.93,135.26,131.96,3812683
38,23.11.2007,135.88,136.26,136.7,134.21,3828922
39,26.11.2007,138.21,134,138.21,133.4,4242541
40,27.11.2007,133.25,133.92,134.39,132.5,4461858
41,28.11.2007,134.46,138.97,139.8,133.18,7089974
42,29.11.2007,140.33,139.26,141.94,138.25,4739304
43,30.11.2007,140,141,142.13,139.33,4044787
44,03.12.2007,140.99,138.93,140.99,138.08,3211125
45,04.12.2007,138.67,137.61,138.96,136.53,4072755
46,05.12.2007,137.61,139.25,139.48,136.06,3372737
47,06.12.2007,139.99,139.98,141.85,139.34,3152506
48,07.12.2007,140.75,143.75,144.46,140.44,5331413
49,10.12.2007,142.25,145.14,145.9,141.74,3301020
50,11.12.2007,146.15,145.86,146.98,144.35,2996770
51,12.12.2007,144,147,147.85,143.6,4642715
52,13.12.2007,145.81,143.65,146,143.43,3552287
53,14.12.2007,144.8,144.3,144.8,142.17,2950538
54,17.12.2007,142.2,141.71,143,141,3631772
55,18.12.2007,140.62,142.82,144.51,140.61,3174272
56,19.12.2007,143.83,141.5,143.83,140.87,3183681
57,20.12.2007,141.99,142,143.43,140.55,2716246
58,21.12.2007,143.26,146.43,146.43,143.24,8096248
59,27.12.2007,146.9,147.07,148.67,146.47,2063671
60,28.12.2007,146.11,147.95,148.29,145.88,1100048
61,02.01.2008,147.99,145.92,148.99,145.7,2352064
62,03.01.2008,146,144.93,146.24,143.51,2589786
63,04.01.2008,144.96,142.08,144.96,140.77,4438290
64,07.01.2008,142.35,140.06,142.83,139.36,4838812
65,08.01.2008,140.9,139.88,141.56,139.5,3338713
66,09.01.2008,139.88,139.25,140.4,138.2,3611964
67,10.01.2008,139.39,138.92,140.55,138.42,4162377
68,11.01.2008,139.3,140.15,141.48,139.05,3491080
69,14.01.2008,139.18,143.39,144.23,139.03,4095995
70,15.01.2008,142.91,141.06,144.17,141.06,4184909
71,16.01.2008,140.53,142.02,143.58,138.88,5846107
72,17.01.2008,143.49,141.34,144.64,140.48,4558485
73,18.01.2008,141,133.19,141.5,131.81,13217.54
74,21.01.2008,130.7,119.88,131.04,119.32,16982.73
75,22.01.2008,112.3,119.5,122.92,108.9,19923.52
76,23.01.2008,122,111.32,124.5,111.2,13882.49
77,24.01.2008,121.3,123.85,125.95,117.12,13778.3
78,25.01.2008,128.5,121.62,128.68,121.01,6604377
79,28.01.2008,119.75,123.78,123.9,119.33,4876022
80,29.01.2008,125.49,123.61,126.36,122.72,4750769
81,30.01.2008,123.97,121.51,123.97,121.38,4444540
82,31.01.2008,121.22,119.46,121.5,115.33,6747135
83,01.02.2008,120.5,121.23,124.75,120.11,5358294
84,04.02.2008,122.75,120.09,122.98,118.33,3958340
85,05.02.2008,120.09,115.24,120.09,115.14,5080809
86,06.02.2008,114.7,116.99,118.12,114.49,5606349
87,07.02.2008,117.28,115.27,118.05,114.66,4652770
88,08.02.2008,116.19,115.7,117.75,115.02,3094658
89,11.02.2008,114.5,113.18,115.66,112.07,5647800
90,12.02.2008,114,115.35,115.9,108.35,10036.39
91,13.02.2008,114.14,115.52,116.98,112.8,4454916
92,14.02.2008,117.23,115.55,117.8,114.76,4238940
93,15.02.2008,116,113.07,116.65,112.22,4741848
94,18.02.2008,113.46,115.67,116.48,113.44,3165516
95,19.02.2008,115.37,117.33,120.27,114,5296182
96,20.02.2008,115.87,117.49,120.24,115.32,5005897
97,21.02.2008,118.41,118.44,121.13,115.16,6061429
98,22.02.2008,117.79,116.16,118.78,115.04,5254666
99,25.02.2008,118.01,118.06,120.32,116.59,3668970
100,26.02.2008,119,121.53,121.89,118.72,4681822
101,27.02.2008,121.98,121.65,122.7,119.49,3914591
102,28.02.2008,122.52,121.35,123.5,120.8,4946739
103,29.02.2008,120,117.5,120.26,116.61,6026027
104,03.03.2008,115.49,115.55,116.08,113.83,4174679
105,04.03.2008,115.06,113.13,116.87,112.7,4227010
106,05.03.2008,114.05,116.04,116.58,113.85,3342176
107,06.03.2008,115.48,112.83,115.78,112.25,4111235
108,07.03.2008,111.8,111.14,112.6,109.83,6573261
109,10.03.2008,110.89,108.7,111.88,107.66,5118210
110,11.03.2008,109.1,110.81,114.4,108.5,7829403
111,12.03.2008,113.25,114.2,115.26,112.56,5854825
112,13.03.2008,112.03,111.74,112.69,109.25,5868764
113,14.03.2008,111.44,111.61,114.2,108.55,8223418
114,17.03.2008,108.09,106.2,111.25,105.6,8490758
115,18.03.2008,108.85,110.14,110.85,107.79,5458150
116,19.03.2008,111.51,110.94,113.63,109.63,7088807
117,20.03.2008,108.77,112.82,112.82,108.77,11066.35
118,25.03.2008,117.3,120.27,120.68,117,9079943
119,26.03.2008,118.75,119.42,121.35,118.5,5154817
120,27.03.2008,120.7,122.46,123.45,119.64,5711170
121,28.03.2008,123,126.06,126.4,122.95,5596600
122,31.03.2008,124.8,125.48,125.7,123.22,3279898
123,01.04.2008,123.75,132.22,132.5,123.59,6130539
124,02.04.2008,133,134.48,135.12,132.04,5192093
125,03.04.2008,134.3,131.58,135,129.88,4078093
126,04.04.2008,131.9,133.08,133.81,130.68,2884558
127,07.04.2008,133.41,133.21,133.92,132.1,2809319
128,08.04.2008,131.37,131.89,132.2,129.4,3511869
129,09.04.2008,130.25,129.52,131,128.8,2770256
130,10.04.2008,128.51,130.32,131.47,125.4,6138219
131,11.04.2008,130,127.78,132.28,127.2,3844315
132,14.04.2008,126.18,126.33,127.23,125.11,2544478
133,15.04.2008,127.07,126.35,127.21,123.75,3349508
134,16.04.2008,126.93,128.61,128.65,126,2781804
135,17.04.2008,129.68,128.26,130.29,128.06,2220312
136,18.04.2008,128.85,132.7,132.96,128.52,3957919
137,21.04.2008,132.65,129.21,132.65,128.34,3084318
138,22.04.2008,129,127.66,130.2,127.18,2317749
139,23.04.2008,127.25,128.78,129.36,124.83,3590334
140,24.04.2008,128.38,128.07,128.38,125.16,4394718
141,25.04.2008,129.5,129.52,131,128.65,3766724
142,28.04.2008,129.82,130.79,132.24,129.58,2109609
143,29.04.2008,128.6,129.22,130.93,127.88,3225662
144,30.04.2008,129.95,130.93,131.45,129,2741413
145,02.05.2008,132.78,133.51,134.48,131.92,3909190
146,05.05.2008,133.22,133.7,134.2,132.65,1290768
147,06.05.2008,133.13,131.19,133.63,130.36,3165610
148,07.05.2008,131.61,131.85,132.82,130.85,2250857
149,08.05.2008,130.95,130.37,130.96,129.29,2775731
150,09.05.2008,128.83,129.05,130.08,127.75,2626255
151,12.05.2008,129.76,129.05,130.5,128.54,943440
152,13.05.2008,129.01,129.3,130.27,128.5,2179268
153,14.05.2008,129.84,129.37,130.13,128.01,2046653
154,15.05.2008,128.87,128.83,129.38,127.65,2357939
155,16.05.2008,129.85,129,130.1,128.5,3149850
156,19.05.2008,129.85,129.49,130.11,128.6,3078724
157,20.05.2008,128.7,129.09,130.2,128.45,3853850
158,21.05.2008,129,124.37,129.29,124.37,6006738
159,22.05.2008,119.48,119.98,121.19,117.9,5144355
160,23.05.2008,120.77,118.52,121.77,117.9,3388118
161,26.05.2008,117.95,118.58,119.5,117.92,1210681
162,27.05.2008,119.1,117.88,119.16,116.43,3246979
163,28.05.2008,118.66,119.8,121.46,117.94,3857561
164,29.05.2008,120,120.32,121.14,119.29,1994525
165,30.05.2008,121.09,121.69,122.67,121,2503584
166,02.06.2008,121.15,119.45,121.59,119.02,2430053
167,03.06.2008,118.5,119.17,119.42,118.01,1591742
168,04.06.2008,118.68,117.98,118.68,116.9,2386840
169,05.06.2008,117.89,117.62,119.17,116.29,2684213
170,06.06.2008,118.22,114.15,118.74,113.95,4005106
171,09.06.2008,113.5,114.49,115.07,112.72,3086779
172,10.06.2008,112.99,113.59,114.18,112.14,3578600
173,11.06.2008,114.06,110.97,115.27,110.44,4235646
174,12.06.2008,111.5,112.68,113.43,110.27,4826041
175,13.06.2008,112.62,117.33,118.57,112.35,7311805
176,16.06.2008,118.16,116.52,120,115.4,3625062
177,17.06.2008,117,118,119.6,117,3382850
178,18.06.2008,117.73,117,118.76,116.38,2686490
179,19.06.2008,116.36,117.4,119.8,115.5,5440661
180,20.06.2008,118,116.35,119.38,115.32,6908056
181,23.06.2008,118,116.17,118.25,115.7,3331082
182,24.06.2008,116.73,116.57,117.2,114.24,3738630
183,25.06.2008,117.25,118.73,119.45,117,3367334
184,26.06.2008,117.95,114.48,118.34,114.2,3893761
185,27.06.2008,114,112.3,114.64,111.1,4317413
186,30.06.2008,112.3,111.9,112.78,109.86,3693158
187,01.07.2008,110.68,108.73,111.19,107.53,4588706
188,02.07.2008,109.73,108.58,111,108.1,3558570
189,03.07.2008,107.68,110.84,112.55,107.45,4743896
190,04.07.2008,112.19,109.71,112.19,108.8,1979678
191,07.07.2008,110.06,111.05,112.14,109.64,2705848
192,08.07.2008,108.75,111.26,111.43,108.4,4077532
193,09.07.2008,112.89,112.53,113.75,111.85,2785766
194,10.07.2008,111.19,111.95,114.03,110.51,3198989
195,11.07.2008,112.88,108.13,112.92,106.55,4834419
196,14.07.2008,109,108.52,110.25,108.09,2563056
197,15.07.2008,107,102.56,107.69,99.77,9613090
198,16.07.2008,103.15,101.02,103.48,95.76,8625288
199,17.07.2008,106,105.97,108.47,105,8249810
200,18.07.2008,105.87,111.17,111.17,105.11,5365181
201,21.07.2008,111,111.89,113.36,107.9,3413201
202,22.07.2008,111,111.72,111.72,108.5,2832750
203,23.07.2008,113.58,116.25,116.88,112.61,5050260
204,24.07.2008,116,114.39,116.95,113.19,3722964
205,25.07.2008,112.53,109.13,112.89,104.45,9022959
206,28.07.2008,108.49,107,108.49,106.09,2494972
207,29.07.2008,105,107.48,107.98,103.44,3634418
208,30.07.2008,109,108.54,109.94,107.25,2606670
209,31.07.2008,109.47,109.32,110.79,107.71,2498820
210,01.08.2008,107.68,108.55,110.61,107.68,2093650
211,04.08.2008,108,108.72,109.43,107.51,1670315
212,05.08.2008,109.8,114.05,114.62,108.4,3941330
213,06.08.2008,115.17,112.98,115.17,112.71,3365390
214,07.08.2008,108.8,112.03,113.42,108.08,5405914
215,08.08.2008,110.99,112.47,113.08,109.09,3255548
216,11.08.2008,111.72,114.61,114.77,111.38,2900776
217,12.08.2008,113.99,113.72,115.2,112.87,2195904
218,13.08.2008,112.43,109.48,112.87,109.06,3609094
219,14.08.2008,110.8,110.22,111.28,108.23,2609645
220,15.08.2008,111,110.05,111.65,108.73,2911667
221,18.08.2008,109.22,109.5,110.87,108.29,1691006
222,19.08.2008,108,104.85,108.61,104.15,4259549
223,20.08.2008,105.72,106.42,107.09,104.42,3183945
224,21.08.2008,105.03,104.19,105.49,103.6,2800699
225,22.08.2008,104.8,107.46,108.22,104.6,3358201
226,25.08.2008,108.1,108,110.95,107.63,3146313
227,26.08.2008,108.3,110.29,111,107.06,4017376
228,27.08.2008,111.94,109.25,111.97,108.26,3027943
229,28.08.2008,108.88,113.5,114.47,107.95,5260044
230,29.08.2008,114.24,114.1,115.19,113.7,3316989
231,01.09.2008,115.5,114.14,115.8,112.29,3318424
232,02.09.2008,114.8,116.14,117.5,112.25,4849034
233,03.09.2008,115.1,115.03,115.96,114.32,3166394
234,04.09.2008,115.45,111.06,115.84,110.56,3482781
235,05.09.2008,110,107.24,110.16,106.37,5539068
236,08.09.2008,112,112.13,115.38,111.31,6142827
237,09.09.2008,112.43,113.75,116.5,112.03,5292499
238,10.09.2008,112.45,111.26,113.7,110.76,4309086
239,11.09.2008,110.51,110.88,111.12,108.6,3705454
240,12.09.2008,111.6,110.65,111.93,109.09,3086181
241,15.09.2008,105.67,103.89,105.99,99.6,12319.4
242,16.09.2008,100.2,98.06,101.45,92.22,11830.3
243,17.09.2008,102.17,94.63,102.17,93.2,8179675
244,18.09.2008,94,89.4,96,86.81,14395
245,19.09.2008,100.3,100.51,104.5,96.44,16330.18
246,22.09.2008,103.8,99.15,105,99.15,4829887
247,23.09.2008,100,100.24,101.24,97.27,3827240
248,24.09.2008,99.35,100.55,101.81,99.35,3799455
249,25.09.2008,100,104.3,105.98,99.66,4561603
250,26.09.2008,103.7,103.34,105.1,101.8,3028931
251,29.09.2008,101.6,95.77,102.75,92.8,6583053
252,30.09.2008,92.1,96.28,96.9,90.2,5701081
253,01.10.2008,97.4,96.08,98,93.1,3845168
254,02.10.2008,96.85,94.73,98.87,93.25,4048121
255,03.10.2008,95.4,99.09,101.9,94.9,4252685
256,06.10.2008,94,89.48,95.02,84.83,7181508
257,07.10.2008,92,85.96,92.4,76.84,7307841
258,08.10.2008,79.22,79.34,87.95,72.51,9929108
259,09.10.2008,81.67,78.15,84.87,74.34,5738320
260,10.10.2008,70.35,70.95,73.92,64.3,11854.52
261,13.10.2008,76,80.87,81.08,73.51,8193283
262,14.10.2008,84.4,85.17,88.86,83.1,6534057
263,15.10.2008,85.6,78,85.84,75.1,6120273
264,16.10.2008,72.75,71.36,76.72,67.26,7237154
265,17.10.2008,75.34,72.24,75.8,68.51,7076823
266,20.10.2008,74.9,73.19,74.9,70.28,4475308
267,21.10.2008,74.1,73.5,75.96,71.4,3789941
268,22.10.2008,70.67,68.9,71.26,65.76,5433204
269,23.10.2008,68.4,65.79,69.95,62.51,5481649
270,24.10.2008,60,60.54,61.2,57.01,8012234
271,27.10.2008,56,52.01,56,50.75,8465915
272,28.10.2008,56.1,48.2,56.1,46.2,12916.4
273,29.10.2008,56.84,60.85,60.85,54.12,9770788
274,30.10.2008,63.2,62,64.87,57.1,7080341
275,31.10.2008,61.5,58.02,61.59,55.11,9702282
276,03.11.2008,59.3,60.45,61.95,58.63,5454238
277,04.11.2008,62.5,68.91,68.91,61.6,7327159
278,05.11.2008,69.4,68.85,72.7,68.1,5828001
279,06.11.2008,65,61.87,65.69,60.39,6491865
280,07.11.2008,62.55,65.55,67.5,61.25,4482851
281,10.11.2008,66.81,65.2,68.37,62.73,4755697
282,11.11.2008,62.75,59.89,63.11,59.89,4855806
283,12.11.2008,60.25,55.48,61.39,53.37,6794130
284,13.11.2008,55,53.8,56.5,52.81,4842452
285,14.11.2008,56.25,55.92,58.87,55.3,3849255
286,17.11.2008,56.33,53.66,57.19,52.77,3498722
287,18.11.2008,53.55,53.51,54.5,51,3933279
288,19.11.2008,53.5,50.61,54.45,50.61,3548100
289,20.11.2008,49.8,49.43,50.02,47.51,5099851
290,21.11.2008,49.61,46.64,50.65,45.15,5936146
291,24.11.2008,47.95,56.24,56.24,47.21,6609459
292,25.11.2008,55.67,55.49,58.53,52.7,5493214
293,26.11.2008,54.47,54.35,55.57,52.51,3047758
294,27.11.2008,55.4,59.81,60.18,55.1,4560513
295,28.11.2008,65,65.21,66.78,62.25,7607841
296,01.12.2008,64.87,60.84,64.87,59.26,4079478
297,02.12.2008,59.02,63.8,65,58.15,3834916
298,03.12.2008,62.79,64.15,65.2,60.44,3188168
299,04.12.2008,63.5,66.95,69.3,62.61,5082948
300,05.12.2008,66,65.67,67.53,64.25,3965015
301,08.12.2008,69,73.96,75.5,69,6494425
302,09.12.2008,73,74.8,76.43,71.15,4103412
303,10.12.2008,74.9,76.16,77.46,73.9,2883464
304,11.12.2008,74.9,74.84,76.41,73.07,2829583
305,12.12.2008,69.7,72.54,73.49,68.1,4071011
306,15.12.2008,74.5,71.48,75.44,71.38,2640116
